SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
457,Eastern HS,-76.979684293,38.890402328,High,hs,9,6,FALSE,2015,0.5964240102,0,8,274,1030,6651311.75211863,2742158.375,37850.45,0,339400.425148254,0,0,0,163690,473130,0,0,60690,0,0,697510,10468231.0022669
232,Eaton ES,-77.065821138,38.932726738,Elementary,es,5,3,FALSE,2015,0.0595744681,36,48,39,477,3571254.19134125,473130.625,189252.25,0,11750,0,131564.933658751,0,47700,0,0,0,0,0,0,47700,4424652
471,Ellington School of the Arts,-77.070307568,38.913446043,Art,other,8,2,FALSE,2015,0.2144177449,0,8,25,515,3567283.49665075,283878.375,34065.405,0,13525,2289744.39015,0,0,51500,0,0,0,0,0,0,51500,6239996.66680075
407,Eliot-Hine MS,-76.978977919,38.892431159,Middle,ms,7,6,TRUE,2015,0.7089041096,0,1,59,275,2168246.3422125,943476.35,18925.225,0,126570.784346476,0,0,0,729297,156192,0,0,0,0,0,885489,4142707.70155898
238,Garfield ES,-76.970804777,38.851733042,Elementary,es,1,8,TRUE,2015,0.7706766917,50,0,37,276,2370849.89345625,377786.43,0,0,115300.783000556,0,0,0,127600,312696,0,0,0,0,0,440296,3304233.10645681
239,Garrison ES,-77.028612556,38.913900957,Elementary,es,3,2,FALSE,2015,0.5357142857,85,32,74,289,2681793.0723625,1191712.61,141939.1875,50149.29075,121369.245263744,0,0,0,28900,0,0,0,0,0,0,28900,4215863.40587624
227,H.D. Cooke ES,-77.038810584,38.923942751,Elementary,es,1,1,TRUE,2015,0.5378787879,90,180,37,413,3791315.63435,473130.625,851635.125,91482.0465,171650.789730152,0,0,0,141300,0,0,0,0,0,0,141300,5520514.22058015
246,Hardy MS,-77.068613896,38.915508698,Middle,ms,7,2,FALSE,2015,0.269541779,0,19,52,400,2675126.0628125,832421.6175,94626.125,0,88496.5792708652,146624,0,0,738453,0,0,0,0,0,0,738453,4575747.38458337
413,Hart MS,-76.997178747,38.837737537,Middle,ms,7,8,TRUE,2015,0.7629233512,0,0,159,574,3718078.98755112,1705716.16,0,63926.876,243171.952117715,125307,0,0,917854,407322,0,0,0,0,0,1325176,7181376.97566884
258,Hearst ES,-77.071955219,38.940722313,Elementary,es,4,3,FALSE,2015,0.1463414634,43,23,30,293,2597145.9319875,751845.27,94626.125,0,7175,0,0,0,29300,0,0,0,0,0,0,29300,3480092.3269875
